Country Code,year,gdp
CAF,1964,142025069.461676
CAN,1964,49377522896.703
CHE,1964,14480556571.5476
CHL,1964,5982347826.08696
CHN,1964,59708343488.5043
CIV,1964,921063266.445521
CMR,1964,776650126.190072
COD,1964,2881545272.72727
COG,1964,185693724.845331
COL,1964,5973366666.66667
COM,1964,425478060.2961595
CPV,1964,629550461.455645
CRI,1964,542578367.242598
CUB,1964,32633137648.291573
CUW,1964,529907840.4615807
CYM,1964,1260719930.9282136
CYP,1964,9671580116.92396
CZE,1964,75018948266.27742
DEU,1964,1787891308812.6345
DJI,1964,692268782.3177625
DMA,1964,233856842.568306
DNK,1964,155554999311.97568
DOM,1964,1025599900.0
DZA,1964,2909292864.23204
ECU,1964,2244146867.90615
EGY,1964,94231664118.54344
ERI,1964,320581605.0869155
ESP,1964,21343844643.7341
EST,1964,7974092666.317512
ETH,1964,18923746424.316265
FIN,1964,7766655085.78588
FJI,1964,140032741.468329
FRA,1964,94007851047.3678
FRO,1964,892835598.2792426
FSM,1964,152349057.37704918
GAB,1964,215679855.271673
GBR,1964,94407558351.1616
GEO,1964,4917117362.470762
GHA,1964,1731092436.97479
GIB,1964,0.0
GIN,1964,3402800061.850502
GMB,1964,645440637.0185436
GNB,1964,416237486.50807923
GNQ,1964,12712471.3960211
GRC,1964,6669673257.1183
GRD,1964,391375426.1202186
GRL,1964,1097504403.3783352
GTM,1964,1299099900.0
GUM,1964,1664213114.7540984
GUY,1964,194773376.888526
HKG,1964,2206466461.26434
HND,1964,457000000.0
HRV,1964,20816883755.912975
HTI,1964,325281200.0
HUN,1964,51664891729.89662
IDN,1964,285875264262.00415
IMN,1964,1775935307.4528196
IND,1964,56480289940.9899
IRL,1964,2766608945.87402
IRN,1964,5379845647.70139
IRQ,1964,2340521142.5371
ISL,1964,434267936.914583
ISR,1964,3405333333.33333
ITA,1964,63175417019.0094
JAM,1964,897931401.371973
JOR,1964,11985653782.787558
JPN,1964,81749006381.5111
KAZ,1964,50478789556.274025
KEN,1964,998759333.643326
KGZ,1964,2197390287.0207634
KHM,1964,782857128.571429
KIR,1964,74729348.03210096
KNA,1964,13416554.8620428
KOR,1964,3459032883.02465
KWT,1964,46935229918.14313
LAO,1964,3722869365.194184
LBN,1964,14329210106.853313
LBR,1964,789917977.0491803
LBY,1964,25087460305.756077
LCA,1964,701726966.7936614
LIE,1964,2193283096.0771823
LKA,1964,1309747899.15966
LSO,1964,51938961.2207756
LTU,1964,14620656984.757362
LUX,1964,903158753.943622
LVA,1964,9626594160.326801
MAC,1964,11827844302.55251
